Sujeto,Relación,Objeto,origen
José de Rezabal i Ugarte,autor de,Bibliografía de los escritores que han sido,chile4_17081
José de Rezabal i Ugarte,cargo,oidor decano fundador de la audiencia del Cuzco,chile4_17084
José de Rezabal i Ugarte,fecha de traslado a Lima,fines de enero de 1779,chile4_17077
José de Rezabal i Ugarte,título honorario,miembro del consejo de Indias,chile4_17088
José de Rezabal i Ugarte,año de inicio en el cargo de rejente,1793,chile4_17066
José de Rezabal i Ugarte,lugar de muerte,Santiago,chile4_17096
José de Rezabal i Ugarte,lugar de estudios,Valladolid,chile4_17069
José de Rezabal i Ugarte,cargo,rejente de la real audiencia de Chile,chile4_17065
José de Rezabal i Ugarte,cargo,oidor de la audiencia de Chile,chile4_17071
José de Rezabal i Ugarte,fecha de inicio como oidor de la audiencia de Chile,6 de abril de 1778,chile4_17072
José de Rezabal i Ugarte,lugar de nacimiento,"ciudad de Vitoria, provincia de Álava, España",chile4_17067
José de Rezabal i Ugarte,cargo,inspector de la construcción de la Catedral,chile4_17073
José de Rezabal i Ugarte,cargo,protector del colegio carolino,chile4_17074
José de Rezabal i Ugarte,cargo,juez de bienes de difuntos,chile4_17075
José de Rezabal i Ugarte,cargo,alcalde de corte de Lima,chile4_17076
José de Rezabal i Ugarte,fecha de muerte,1800,chile4_17095
José de Rezabal i Ugarte,autor de,Tratado sobre las rentas reales de medios derechos del servicio de que son obligados los de Castilla,chile4_17078
José de Rezabal i Ugarte,campo de estudios,leyes y canones,chile4_17070
José de Rezabal i Ugarte,obra construida durante su gobierno,alameda junto a los tajamares de Santiago,chile4_17093
José de Rezabal i Ugarte,lugar de estudios,Granada,chile4_17068
José de Ron,cargo religioso de,Arcediano,chile4_17447
José de San Martín,cédula real sobre motines de Yumbel fechada,19 de marzo de 1709,chile4_14851
José de San Martín,poseedor de,archivo particular,chile4_7426
José de San Martín,fecha de comunicación al Congreso,17 de septiembre de 1823,chile4_1287
José de San Martín,lugar de residencia en 1823,Mendoza,chile4_1286
José de San Martín,opinante sobre conducta de,Riva Agüero,chile4_2494
José de San Martín,cargo de,gobierno protector del Perú,chile4_1849
José de San Martín,fecha de abdicación del cargo de gobierno protector del Perú,20 de septiembre de 1822,chile4_1850
José de San Martín,colaborador,Bernardo O'Higgins,chile1_5451
José de San Martín,relación con gobierno del Perú,Invitado a retomar el mando,chile4_2663
José de San Martín,cargo histórico,fundador de libertad del Perú,chile4_2280
José de San Martín,cargo de,general,chile4_2238
José de San Martín,colaborador de,Bernardo O'Higgins,chile1_3209
José de San Martín,colaborador de,Bernardo O'Higgins,chile4_4802
José de San Martín,autor de,carta a Riva Agüero desde Mendoza del 22 de octubre,chile4_2263
José de Santiago Concha,cargo de,oidor de la audiencia,chile4_1586
José de Santiago Concha,cargo de,primer mayordomo del hospital,chile4_1587
José de Santiago Concha,lugar de nacimiento,Lima,chile4_15513
José de Santiago Concha,condecoración de,Caballero de la Orden de Calatrava,chile4_15514
José de Santiago Concha,cargo de,Gobernador interino del reino de Chile,chile4_15515
José de Santiago Concha,fecha de llegada a Valparaíso,marzo de 1717,chile4_15516
José de Santiago Concha,fecha de recepción como gobernador en Santiago,19 de marzo de 1717,chile4_15517
José de Santiago Concha,destinatario de relación,Gabriel Cano de Aponte,chile4_17255
José de Santiago Concha,emisor de sentencia contra,Juan Andrés de Ustáriz,chile4_15519
José de Santiago Concha,fecha de relación de gobierno,15 de diciembre de 1717,chile4_17254
José de Santiago Concha,duración de gobierno en meses,9,chile4_15545
José de Santiago Concha,lugar de embarque al finalizar gobierno,Chile hacia Perú,chile4_15546
José de Santiago Concha,cargo de,oidor,chile4_15664
José de Santiago Concha,cargo de,gobernador interino,chile4_15665
José de Santiago Concha,cargo en 1808,oidor en audiencia de Santiago,chile4_18864
José de Santiago Concha,cargo de trabajo,Oidor de la Real Audiencia de Santiago,chile4_17382
José de Santiago Concha,cargo de,Oidor de la Audiencia de Lima,chile4_15512
José de Santiago Concha,cargo de,gobernador interino,chile4_19342
José de Santiago Concha,fecha de inicio de gobierno interino,6 de abril de 1801,chile4_17385
José de Santiago Concha,cargo de trabajo interino,"Presidente, Gobernador y Capitán General de Chile",chile4_17384
José de Santiago Concha,duración de gobierno interino,nueve meses,chile4_17386
José de Toro Zambrano,cargo desde 1745 hasta 1760,obispo de Concepción,chile4_18897
José de Toro Zambrano,lugar de nacimiento,Santiago,chile4_18895
José de Toro Zambrano,cargo eclesiástico en Santiago,canónigo en catedral de Santiago,chile4_18896
José de Valverde,cargo de trabajo,oidor futurario de Real Audiencia de Santiago,chile4_14592
José de Vértiz,cargo,virrey de Buenos Aires,chile4_19428
José de la Riva Agüero,acusado de,traición por correspondencia interceptada,chile4_2270
José de la Riva Agüero,autor de,decreto de disolución del congreso,chile4_2257
José de la Riva Agüero,cargo de,presidente provisorio de Lima,chile4_2234
José de la Riva Agüero,título nobiliario,marqués,chile4_2279
José de la Riva Agüero,cargo propuesto en representación,presidente del Perú con gobierno unipersonal,chile4_2003
José de la Riva Agüero,cargo reconocido,Presidente del Perú,chile4_2004
José de la Riva Agüero,título militar,Gran Mariscal,chile4_2005
José de la Riva Agüero,opositor político de,Bernardo de Torre Tagle,chile4_2269
José de la Riva Agüero,cargo de,marqués y gran mariscal,chile4_2233
José del Carmen Almarche,cargo de,tesorero de marina de Valparaíso,chile4_4646
José del Olmo,cargo de,alcaide y familiar del Santo Oficio,chile4_13463
José del Olmo,autor de,Relacion histórica del auto jeneral de fe,chile4_13464
José del Valle,fecha de muerte,Setiembre de 1782,chile4_17106
Journael ende historis Verhael,lugar de publicación,Amsterdam,chile4_10242
Journael ende historis Verhael,año de publicación,1646,chile4_10241
Journal d'un voyage sur les costes d'Afrique et aux Indes d'Espagne,fecha de finalización,1706,chile4_15242
Journal d'un voyage sur les costes d'Afrique et aux Indes d'Espagne,fecha de inicio,1702,chile4_15241
Journal d'un voyage sur les costes d'Afrique et aux Indes d'Espagne,lugar de publicación,París en 1730,chile4_15243
"Journal des observations physique, mathématiques et botaniques",cantidad de volúmenes,3,chile4_15307
"Journal des observations physique, mathématiques et botaniques",lugar de publicación de los dos primeros volúmenes,París,chile4_15308
"Journal des observations physique, mathématiques et botaniques",año de publicación de los dos primeros volúmenes,1714,chile4_15309
"Journal des observations physique, mathématiques et botaniques",año de publicación del tercer volumen,1725,chile4_15310
Journal du Nadir,autor de,Raveneau de Lussan,chile4_12690
Journal of researches into the natural history of the countries visited,año de publicación,1860,chile1_382
Journal of researches into the natural history of the countries visited,lugar de publicación,Londres,chile1_381
Jovellanos,autor de,Informe en el expediente de la ley agraria,chile4_5231
Juan,autor de,mapas usados por expedición francesa,chile4_16237
Juan Agustín Fontanes,ocupación,antiguo oficial de los ejércitos de la independencia,chile4_4999
Juan Agustín Fontanes,lugar de residencia,Copiapó,chile4_5000
Juan Andrés Hurtado de Mendoza,heredero de título de,García Hurtado de Mendoza,chile1_5400
Juan Andrés de Ustáriz,lugar de residencia de esposa,Sevilla,chile4_15043
Juan Andrés de Ustáriz,pariente de,Jerónimo de Ustáriz,chile4_15046
Juan Andrés de Ustáriz,monto de condena en pesos,54000,chile4_15521
Juan Andrés de Ustáriz,lugar de fallecimiento,Santiago,chile4_15522
Juan Andrés de Ustáriz,destino de viaje en 1715,Concepción,chile4_15518
Juan Andrés de Ustáriz,familiar que acompañó,tres hijos,chile4_15042
Juan Andrés de Ustáriz,cargo previo de,Presidente y Gobernador de Chile,chile4_15511
Juan Andrés de Ustáriz,fecha de arribo a Valparaíso,mediados de enero de 1709,chile4_15040
Juan Andrés de Ustáriz,fecha de nombramiento,fines de 1707,chile4_15039
Juan Andrés de Ustáriz,precio pagado por cargo,24000 pesos,chile4_15038
Juan Andrés de Ustáriz,título de,Capitán General,chile4_15037
Juan Andrés de Ustáriz,cargo de,Gobernador de Chile,chile4_15036
Juan Andrés de Ustáriz,ocupación previa,comerciante en Sevilla,chile4_15035
Juan Andrés de Ustáriz,lugar de origen,Navarra,chile4_15033
Juan Andrés de Ustáriz,sucesor de,Francisco Ibáñez en gobierno de Chile,chile4_15032
Juan Andrés de Ustáriz,cargo,gobernador de Chile,chile4_15648
Juan Andrés de Ustáriz,cargo de,Gobernador de Chile,chile4_15485
Juan Andrés de Ustáriz,lugar de juramento,Consejo de Indias en Madrid,chile4_15095
Juan Andrés de Ustáriz,fecha de inicio de gobierno,26 de febrero de 1709,chile4_15041
Juan Andrés de Ustáriz,miembro de,Orden de Santiago,chile4_15034
Juan Antonio Ferrebú,hostilizador de,Guarnición chilena del fuerte de Colcura,chile4_2511
Juan Antonio Ferrebú,cargo de,Cura de Rere,chile4_2510
Juan Antonio Garretón,cargo de,teniente coronel,chile4_16674
Juan Antonio Garretón,sucesor de,Carlos de Beranger,chile4_16675
Juan Antonio Garretón,constructor de,fuertes en villa de San Carlos de Chiloé,chile4_16676
Juan Antonio Guerrero,ocupación de,hacendado y minero,chile4_6562
Juan Antonio Guerrero,cargo de,Diputado propietario por La Serena,chile4_7165
Juan Antonio Guerrero,provincia de,Coquimbo,chile4_6563
Juan Antonio Guerrero,suegro de,hijo de Francisco Ramón Vicuña,chile4_6565
Juan Antonio Guerrero,cargo de,diputado por distrito de la Serena,chile4_6564
Juan Antonio Guerrero,fiador de,Francisco Ramón Vicuña,chile4_6561
Juan Antonio Álvarez de Arenales,comisionado para,Salta,chile4_2150
Juan Arias,acción realizada,amotinó a la gente contra el jefe,chile1_1434
Juan Arias,cargo en expedición de Alcazaba,capitán,chile1_1433
Juan Ascencio,abogado defensor de,Bernardo O'Higgins,chile4_6119
Juan B. Muñoz,organizador de,colección de documentos manuscritos titulada Indias. Kajcs,chile1_4767
Juan B. Muñoz,investigador de,Archivos de Indias depositados en Simancas,chile1_4766
Juan B. Pastene,cargo de,capitán,chile1_2376
Juan B. Pinto,cargo,capitán,chile4_11086
Juan B. Pinto,rol,intérprete del padre Valdivia,chile4_11087
Juan Barba,desertor de,la Imperial,chile1_9118
Juan Barba,ocupación,clérigo,chile1_9117
Juan Barba,cargo de,Regidor de Concepción,chile4_10971
Juan Barba,ocupación de,clérigo de misa,chile1_9257
Juan Barba,consejero de,indios que cercaban la Imperial,chile1_9119
Juan Barbosa,cargo de,capitán del Batallón Valdivia,chile4_5066
Juan Bautista Ferrufino,autor de,Relación manuscrita de la jornada del Marqués de Baides,chile4_10105
Juan Bautista Ferrufino,cargo de,Provincial de los jesuitas de Chile,chile4_10104
Juan Bautista Lavalle,cargo de,plenipotenciario encargado de tratar con el representante de Chile,chile4_5926
Juan Bautista Lavalle,designación en,enero de 1831,chile4_5927
Juan Bautista Lavalle,cargo previo de,jeneral en el ejército realista,chile4_5928
Juan Bautista Muñoz,fecha de muerte,19 de julio de 1799,chile4_19453
Juan Bautista Muñoz,autor de,colección de notas y documentos,chile1_3397
Juan Bautista Muñoz,actividad relacionada con manuscrito de Mariño de Lobera,sacó una copia,chile1_5318
Juan Bautista Muñoz,autor de,Historia del Nuevo Mundo tomo I,chile4_19450
Juan Bautista Muñoz,año de copia de manuscrito,1782,chile1_1808
Juan Bautista Muñoz,autor de,Historia del nuevo mundo,chile4_7379
Juan Bautista Muñoz,descubridor de documento en,Archivo de Indias,chile1_1968
Juan Bautista Muñoz,edad al fallecer,cincuenta y cuatro años,chile1_3597
Juan Bautista Muñoz,autor de,copia de relación de Alonso Vehedor,chile1_1452
Juan Bautista Muñoz,copista de,autos de expedición de Pastene,chile1_2286
Juan Bautista Muñoz,creador de,colección de más de ciento treinta volúmenes sobre historia de América,chile1_3598
Juan Bautista Muñoz,fecha de fallecimiento,19 de julio de 1799,chile1_3596
Juan Bautista Muñoz,copista de,carta de Gonzalo Pizarro en Archivo de Indias,chile1_2544
Juan Bautista Muñoz,lugar de origen,Valencia,chile4_19449
Juan Bautista Muñoz,autor de,Historia del nuevo mundo,chile1_3595
Juan Bautista Muñoz,creador de,colección de manuscritos sobre América,chile4_7389
Juan Bautista Muñoz,copista de,cinco cartas de Valdivia a Carlos V,chile1_3599
Juan Bautista Muñoz,ocupación,historiador,chile1_3398
Juan Bautista Muñoz y Ferrandis,encargo de Carlos III,escribir una historia general de América,chile1_3594
Juan Bautista Pastene,cargo de,capitán,chile1_3314
Juan Bautista Pastene,cónyuge de,española natural de Canarias apellidada Ba,chile1_2795
Juan Bautista Pastene,cargo de,capitán,chile1_4254
Juan Bautista Pastene,procedencia de,Santiago,chile1_4255
Juan Bautista Pastene,capitán de,reconocimiento de costa tres años antes de 1553,chile1_3441
Juan Bautista Pastene,cargo militar de,capitán de embarcaciones,chile1_3182
Juan Bautista Pastene,cargo de,regidor del Cabildo de Santiago,chile1_5469
Juan Bautista Pastene,cargo de,Capitán,chile1_9683
Juan Bautista Pastene,cargo de,capitán,chile1_2794
Juan Bautista Pastene,fecha de llegada a Concepción,20 de marzo de 1550,chile1_3183
Juan Bautista Pastene,lugar de desembarco,puerto de Coquimbo,chile1_2562
Juan Bautista Pastene,lugar de reconocimiento,río Valdivia por mar en 1544,chile1_3315
Juan Bautista Pastene,comandante de exploración de,costas del sur de Chile,chile1_2254
Juan Bautista Pastene,cargo de,teniente general en el mar de Pedro de Valdivia,chile1_2266
Juan Bautista Pastene,cargo de,capitán de buques,chile1_2253
Juan Bautista Pastene,fecha de llegada a Santiago,septiembre de 1547,chile1_2561
Juan Bautista Pastene,capitán de,nave Santiago,chile1_2537
Juan Bautista Pastene,cargo de,capitán,chile1_2045
Juan Bautista Pastene,lugar de llegada,Santiago,chile1_2560
Juan Bautista Pastene,director de construcción en,Valparaíso,chile1_4536
Juan Bautista Pastene,lugar de partida,Callao,chile1_2548
Juan Bautista Pastene,cargo de,capitán,chile1_4534
Juan Bautista Pastene,destino,Valparaíso para dirigir construcción de un barco,chile1_5470
Juan Bautista Pastene,cargo de,capitán,chile1_7099
Juan Bautista Pinto,lugar de nacimiento,Chile,chile4_10428
Juan Bautista Pinto,cargo de,capitán,chile4_10427
Juan Bautista Riccioli,autor de,Geographia hydrographia reformata libri,chile1_7471
Juan Bautista Riccioli,ocupación,astrónomo y geógrafo jesuita,chile1_7470
Juan Bautista Zúñiga,profesión,presbítero,chile4_1682
Juan Bautista de Pastene,cargo de,oficial de confianza de Valdivia,chile1_2306
Juan Bautista de Pastene,cargo de,capitán expedicionario,chile1_2284
Juan Bautista de Pastene,encargado de viajar por,mar,chile1_2308
Juan Berindoaga,cargo de,general,chile4_3147
Juan Berindoaga,cargo de,ministro de la guerra,chile4_3148
Juan Blas,maestro de,escuela de gramática de la catedral de Santiago,chile1_8185
Juan Blas,cargo eclesiástico,cura,chile1_8186
Juan Blest,ocupación de,médico en Santiago,chile4_6318
Juan Blest,origen de,inglés,chile4_6327
Juan Bohón,cargo militar en expedición al norte,capitán,chile1_2243
Juan Bohón,encargado de repartimientos en,parte del país de Chile,chile1_2248
Juan Bohón,cargo en Santiago,regidor del cabildo,chile1_2242
Juan Caballero,perpetrador de infanticidio en año,1580,chile1_8179
Juan Caballón,cargo,licenciado con mando superior de la provincia de Nicaragua,chile1_8703
Juan Calderón de la Barca,ocupación,comerciante,chile1_2261
Juan Calderón de la Barca,relación con,Vaca de Castro,chile1_2262
Juan Canterac,comandante del,ejército español en la provincia de Jauja,chile4_3150
Juan Canterac,cargo de,general del ejército español,chile4_3149
Juan Carlos Gómez,lugar de origen,Uruguay,chile1_45
Juan Contreras,cargo militar de,promotor principal de motines en Yumbel,chile4_14846
Juan Contreras,fecha de separación del ejército,5 de enero de 1703,chile4_14768
Juan Contreras,cargo de,Teniente,chile4_14756
Juan Cook,lugar de origen,Isla de San Cristóbal,chile4_12609
Juan Cook,cargo de,Capitán de expedición filibustera,chile4_12610
Juan Corral,cargo de,oidor,chile4_15495
Juan Corral Calvo de la Torre,cargo de,Oidor,chile4_15004
Juan Corral Calvo de la Torre,cargo de,Corregidor de Concepción,chile4_15005
Juan Corral Calvo de la Torre,cargo de trabajo,oidor futurario de Real Audiencia de Santiago,chile4_14593
Juan Cortés,relación familiar con,coronel Pedro Cortés,chile4_11112
Juan Cortés,cargo,capitán,chile4_11111
Juan Coxon,cargo en expedición filibustera,capitán de compañía de 97 hombres,chile4_12425
Juan Coxon,cargo posterior en expedición,mando en jefe,chile4_12426
Juan Crisóstomo Lafinur,cargo de,oficial de la secretaría del jeneral Belgrano,chile4_1122
Juan Crisóstomo Lafinur,rol de,cantor en la catedral de Córdoba,chile4_1121
Juan Crisóstomo Lafinur,año de nacimiento,1797,chile4_1120
Juan Crisóstomo Lafinur,profesión de,ideas liberales exaltadas,chile4_1118
Juan Crisóstomo Lafinur,cargo de,profesor de filosofía en colejio de Mendoza,chile4_1126
Juan Crisóstomo Lafinur,cargo de,profesor de matemáticas en escuela de Tucumán,chile4_1123
Juan Crisóstomo Lafinur,lugar de fallecimiento,Santiago,chile4_1130
Juan Crisóstomo Lafinur,redactor de,El verdadero amigo del país,chile4_1125
Juan Crisóstomo Lafinur,fecha de fallecimiento,13 de agosto de 1824,chile4_1129
Juan Crisóstomo Lafinur,lugar de estudios legales,universidad de San Felipe,chile4_1128
Juan Crisóstomo Lafinur,director de publicación,El Rejistro ministerial,chile4_1124
Juan Crisóstomo Lafinur,lugar de nacimiento,la Carolina en la provincia argentina de San Luis,chile4_1119
Juan Crisóstomo Lafinur,ocupación de,abogado,chile4_1127
Juan Crisóstomo Lafinur,autor de,versos publicados en El Liberal,chile4_1578
Juan Crisóstomo Pérez,caracterización política,enemigo acérrimo de la independencia nacional,chile4_3501
Juan Crisóstomo Pérez,lugar de arresto,recoleta dominicana,chile4_3500
Juan Crisóstomo Pérez,ocupación,clérigo,chile4_3499
Juan Cárdenas,autor de,cuatro sueltas con el título Juan Cárdenas a lo que le hace Manuel Aniceto Padilla en una representación al tribunal de residencia impresa en El Tizón,chile4_643
Juan Cárdenas,autor de,artículo contra Manuel Aniceto Padilla,chile4_642
Juan Domínguez,cargo,capitán,chile4_11110
Juan Donaire,ocupación,soldado,chile1_8697
Juan Duff O'Higgins,título,barón de Ballinary,chile4_15686
Juan Dábalos Jufré,cargo en Santiago (1543),alcalde ordinario,chile1_2205
Juan Dávalos Jufré,cargo de,regidor del cabildo de Santiago,chile1_2482
Juan Dávalos Jufré,fecha de llegada a Chile,mayo de 1548,chile1_2691
Juan Dávalos Jufré,emisario de,Pedro de Valdivia,chile1_2667
Juan Dávalos Jufré,cargo de,alcalde de Santiago en el primer año de su fundación,chile1_2483
Juan Dávalos Jufré,emisario enviado por,Pedro de Valdivia,chile1_2484
Juan Díaz,rol de,conductor de carta del Gobernador,chile4_10139
Juan Díaz de Solís,ocupación,piloto,chile1_1010
Juan Díaz de Solís,lugar de muerte,región del río de la Plata,chile1_1012
Juan Díaz de Solís,causa de muerte,manos de salvajes,chile1_1011
Juan Eaton,cargo de,Capitán,chile4_12615
Juan Eaton,lugar de salida,Londres,chile4_12616
Juan Egaña,autor del proyecto de,código moral,chile4_2954
Juan Egaña,padre de,Mariano Egaña,chile4_1026
Juan Egaña,cargo de,Miembro de la Comisión de División Topográfica,chile4_3889
Juan Egaña,firmante de informe de,comisión de constitución del 10 de septiembre de 1823,chile4_1321
Juan Egaña,autor de,Informe presentado al tribunal de minería del 2 de marzo de 1804,chile4_5251
Juan Egaña,cargo de,asesor letrado del tribunal de minería,chile4_5250
Juan Egaña,cargo de,presidente del Congreso Constituyente de 1823,chile4_1274
Juan Egaña,ocupación de,Diputado al Congreso de Chile,chile4_4703
Juan Egaña,autor de,Constitución de 1823,chile4_3369
Juan Egaña,cargo de,doctor,chile4_1426
Juan Egaña,cargo en juicio de compromiso Irarrázaval,árbitro abogado,chile4_7108
Juan Egaña,autor de,Exposición de mi dictámen en el compromiso i consulta legal de los hijos de don Miguel Antonio Bravo de Soravia Irarrázaval,chile4_7111
Juan Egaña,relación profesional con,Melchor José Ramos,chile4_4781
Juan Egaña,autor de,Representación sobre poderes de diputados de julio de 1823,chile4_1254
Juan Egaña,autor de proposición sobre,permanencia del director supremo con atribuciones,chile4_4529
Juan Egaña,encargo de contratación de,profesores para enseñanza científica,chile4_4479
Juan Egaña,profesión,abogacía,chile4_2996
Juan Egaña,posición respecto a legislación española,ardiente sostenedor de principios republicanos,chile4_2997
Juan Egaña,autor de,reglamento interior del Congreso Constituyente de 1823,chile4_1284
Juan Egaña,autor de,Memorias políticas sobre las federaciones y legislaturas en general y con relación a Chile,chile4_4604
Juan Egaña,reconocimiento,hombre más ilustrado de Chile,chile4_6833
Juan Egaña,cargo de,Diputado electo de Santiago,chile4_1253
Juan Egaña,cargo de,Senador,chile4_3359
Juan Egaña,autor de,constitución de 1823,chile4_6888
Juan Egaña,cargo de,presidente del congreso,chile4_1599
Juan Egaña,autor de nota dirigida a,Asambleas de Concepción y Coquimbo,chile4_4595
Juan Egaña,fecha de conferencia con Canning,25 de mayo de 1825,chile4_4459
Juan Egaña,fecha de llegada a Londres,fines de agosto de 1824,chile4_4456
Juan Egaña,cargo de,doctor,chile4_3744
Juan Egaña,distrito electoral de representación,Melipilla,chile4_3745
Juan Egaña,lugar de confinación durante reconquista española,Juan Fernández,chile4_6839
Juan Egaña,autor de,Constitución de 1823,chile4_4590
Juan Egaña,participante de,Senado,chile4_3010
Juan Egaña,representación de,Santiago en congreso de plenipotenciarios,chile4_3448
Juan Egaña,cargo en,Senado conservador y legislador,chile4_3680
Juan Egaña,posición ideológica,defensor de mayorazgos,chile4_7076
Juan Egaña,autor de,proyecto de código de moral,chile4_6889
Juan Egaña,profesión,doctor,chile4_7077
Juan Egaña,cargo de,ministro de Chile en Londres,chile4_4455
Juan Egaña,ocupación,doctor,chile4_1312
Juan Egaña,diputado por,Santiago,chile4_1313
Juan Egaña,ocupación,Doctor en ciencias legales y políticas,chile4_4589
Juan Egaña,cargo de,presidente del congreso constituyente de 1823,chile4_1311
Juan Enrique Ramírez,empleador,Diego Portales,chile4_6452
Juan Enríquez,relación familiar con,primo de Miguel de Velasco,chile1_5692
Juan Enríquez,relación familiar con,hermano de Martín Ruiz de Gamboa,chile1_5691
Juan Enríquez,causa de muerte,ahogado por el humo,chile1_5695
Juan Eugenio Hartzenbusch,cargo de,jefe de sección de la biblioteca nacional de Madrid,chile4_7408
Juan Eusebio Nieremberg (Padre jesuita),autor de,Honor del gran patriarca San Ignacio de Loyola,chile1_10548
Juan Falcón,condición,prisionero de los indios desde noviembre de 1599,chile4_11095
Juan Falcón,cargo,religioso lego dominicano,chile4_11094
Juan Falcón,fecha de declaración ante cabildo de Santiago,abril de 1614,chile1_10767
Juan Falcón,duración de cautiverio,quince años,chile1_10766
Juan Falcón,fecha de caída en prisión,noviembre de 1599,chile1_10765
Juan Falcón,fecha de rescate,1614,chile4_11096
Juan Falcón,orden religiosa de,lego dominicano,chile1_10764
Juan Fariñas,cargo eclesiástico,presbítero,chile4_4774
Juan Fariñas,lugar de confinamiento,San Fernando,chile4_4776
Juan Fariñas,fecha de arresto,12 de agosto de 1830,chile4_4775
Juan Felipe Cárdenas,compañero de prisión de,Juan de Dios Martínez,chile4_639
Juan Felipe Cárdenas,año de prisión,1817,chile4_640
Juan Felipe Córdova,delator de,conspiración de los Carreras en 1817,chile4_3075
Juan Fermín Montero de Espinosa,cargo de,Veedor general,chile4_14754
Juan Fermín Montero de Espinosa,cargo militar de,veedor general del ejército de Chile,chile4_14838
Juan Fermín Montero de Espinosa,refugiado en,convento de los padres agustinos,chile4_14859
Juan Fermín Montero de Espinosa,destino de huida,Perú,chile4_14860
Juan Fernández,participante de,pacificación de indios rebelados bajo gobierno de Martín Ruiz de Gamboa,chile1_11201
Juan Fernández,descubridor de,islas Desventuradas,chile1_11195
Juan Fernández,profesión,Piloto,chile1_7672
Juan Fernández,ocupación de,piloto,chile1_11194
Juan Fernández,hijo legítimo,Diego Fernández,chile1_7195
Juan Fernández,lugar visitado por,Sharp,chile4_12480
Juan Fernández,cónyuge,Francisca de Soria,chile1_7194
Juan Fernández,descubridor de,nueva navegación del Perú a Chile,chile1_7193
Juan Fernández,origen étnico,Hijo de español y de india,chile1_6442
Juan Fernández,cargo designado por Hurtado de Mendoza,asesor letrado de don García,chile1_3905
Juan Fernández,año de nacimiento según algunas compilaciones,1536,chile1_7198
Juan Fernández,lugar de nacimiento según algunas compilaciones,Cartagena (España),chile1_7197
Juan Fernández,pena aplicada,Horca,chile1_6445
Juan Fernández,autor de,carta al Consejo de Indias,chile1_3356
Juan Fernández,lugar de destino para,servicio obligatorio como castigo,chile4_19140
Juan Fernández,fecha de fallecimiento,antes de 1604,chile1_7196
Juan Fernández,tiempo de viaje Callao-Valparaíso,un mes,chile1_11204
Juan Fernández,lugar de salida de viaje,Callao,chile1_11202
Juan Fernández,ocupación de,Platero,chile1_6441
Juan Fernández,cargo de,licenciado y oidor de la audiencia de Lima,chile1_3904
Juan Fernández,descubrimiento realizado en,1574,chile1_11199
Juan Fernández,descubridor de,islas Juan Fernández,chile1_11196
Juan Fernández,descubridor de,derrotero marítimo a Chile,chile1_8263
Juan Fernández,descubridor de,Islas Juan Fernández,chile1_9688
Juan Fernández,concesionario de tierras en,distrito de La Ligua,chile1_7189
Juan Fernández,estado civil,casado,chile1_7187
Juan Fernández,cargo de,Piloto,chile1_9687
Juan Fernández,cargo de,fiscal de la audiencia de Lima,chile1_3355
Juan Fernández,cargo de,Piloto,chile1_2763
Juan Fernández,lugar de residencia,Chile,chile1_7188
Juan Fernández,cargo de,piloto,chile1_11123
Juan Fernández,lugar de llegada de viaje,Valparaíso,chile1_11203
Juan Fernández,descubridor de,islas que llevan su nombre,chile1_11124
Juan Fernández Alderete,cargo de,oficial real de Chile,chile1_2463
Juan Fernández Alderete,cargo de alcalde de,Santiago,chile1_2804
Juan Fernández Alderete,cargo en Santiago (1543),alcalde ordinario,chile1_2206
Juan Fernández Alderete,cargo de trabajo,oficial real de Santiago,chile1_5085
Juan Fernández Alderete,beneficiario de,repartimiento de indios,chile1_2393
Juan Fernández Alderete,designado por,Pedro de Valdivia,chile1_2466
Juan Fernández Alderete,donante de terrenos a,fray Martín de Robledo,chile1_3077
Juan Fernández Alderete,donante de,ermita del cerro Santa Lucía,chile1_3079
Juan Fernández Gallardo,propiedad de,Hacienda en márgenes del río Maipo,chile4_11356
Juan Fernández Gallardo,lugar de residencia,Santiago,chile4_11355
Juan Fernández Ladrillero,año de exploración geográfica,1558,chile4_16752
Juan Fernández Rebolledo,cargo de trabajo,maestre de campo,chile4_10471
Juan Fernández de Alderete,firmante de carta al Rey,8 a 12 de diciembre de 1547,chile1_2651
Juan Fernández de Alderete,cargo de trabajo,alcalde de Santiago,chile1_4140
Juan Fernández de Alderete,cargo de trabajo,tesorero real,chile1_4141
Juan Fernández de Alderete,presentador en Cabildo de,testamento cerrado de Pedro de Valdivia,chile1_4142
Juan Fernández de Celis,transacción realizada en agosto de 1713,compra de casa al convento de Santo Domingo,chile4_13833
Juan Fernández de Celis,residencia,Santiago,chile4_13832
Juan Fernández de Rebolledo,cargo militar de,sargento mayor,chile4_8919
Juan Fernández de Rebolledo,número de soldados a cargo en Yumbel,ciento cincuenta soldados,chile4_8920
Juan Fernández de Rebolledo,cargo de,sargento mayor,chile4_8685
"Juan Fernández, historia verdadera de la isla de Robinson Crusoe",lugar y año de publicación,"Santiago, 1883",chile4_15126
Juan Fortescue,prisionero en,Valdivia,chile4_11754
Juan Francisco Meneses,nombramiento para cargo de provisor,18 de julio de 1834,chile4_5479
Juan Francisco Meneses,cargo de,Presbítero,chile4_5478
Juan Francisco Meneses,cargo en gran convención,secretario,chile4_6800
Juan Francisco Meneses,profesión,Presbítero,chile4_5217
Juan Francisco Meneses,número de votos recibidos,15,chile4_6823
Juan Francisco Meneses,posible autor de,Periódico El Huron,chile4_5409
